.0 507.00
1600292.00 518.00 514.00
1601960.00 518.00 515.00
1603640.00 518.00 515.00
1605304.00 517.00 517.00
1606984.00 518.00 518.00
1608660.00 516.00 514.00
1610328.00 518.00 513.00
1612008.00 516.00 507.00
1613684.00 516.00 507.00
1615352.00 517.00 508.00
1617032.00 519.00 510.00
1618708.00 519.00 512.00
1620384.00 517.00 512.00
1622064.00 517.00 513.00
1623740.00 518.00 515.00
1625416.00 516.00 516.00
1627092.00 515.00 515.00
1628764.00 512.00 511.00
1630440.00 516.00 510.00
1632116.00 519.00 508.00
1633788.00 516.00 506.00
1635464.00 516.00 507.00
1637140.00 513.00 506.00
1638816.00 517.00 509.00
1640496.00 518.00 512.00
1642160.00 517.00 514.00
1643840.00 518.00 516.00
1645504.00 518.00 518.00
1647176.00 516.00 516.00
1648856.00 518.00 515.00
1650528.00 517.00 511.00
1652204.00 515.00 507.00
1653880.00 516.00 505.00
1655544.00 515.00 506.00
1657224.00 518.00 510.00
1658904.00 516.00 510.00
1660576.00 517.00 512.00
1662256.00 518.00 514.00
1663932.00 516.00 515.00
1665604.00 516.00 516.00
1667280.00 517.00 516.00
1668944.00 516.00 513.00
1670620.00 517.00 511.00
1672296.00 517.00 507.00
1673960.00 517.00 507.00
1675640.00 516.00 507.00
1677320.00 517.00 509.00
1678992.00 517.00 511.00
1680672.00 516.00 512.00
1682344.00 515.00 513.00
1684016.00 515.00 514.00
1685696.00 517.00 516.00
1687360.00 516.00 515.00
1689032.00 516.00 513.00
1690712.00 517.00 511.00
